name,abbrv,formula,state,ref1,ref2,date,model,E_units,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
Rutherfordine,Rfd,UO2CO3,cr,Gr,NA,07/08/2023,CGL,J,-1564701,-1691302,144.2,120.1,0,122.8563,0.04468312,-2706665,0,0,0,0,1273
beta-UO2(OH)2,Sho,UO2(OH)2,cr,Gr,NA,07/08/2023,CGL,J,-1398683,-1533800,138,141,0,41.8,0.2,3530000,0,0,0,0,1273
Na2U2O7,Na2U2O7,Na2U2O7,cr,Gr,NA,07/08/2023,CGL,J,-3011454,-3203800,275.9,227.3,0,262.83,0.014653,-3549000,0,0,0,0,1273
UO2OH+,UO2OH+,UO2OH+,aq,GA-EB,Fitted: GSCp; RSS = 0.75,########,HKF,cal,-277188,-301513,6.48,77.91,20.7,4.7507,3.8183,4.2494,-2.9369,56.0019,12.8361,0.4531,1
UO3,UO3,UO3,aq,GA-EB,Fitted: GS; RSS = 0.03,########,HKF,cal,-267659,-299600,2.67,-0.8,14.8,3.7774,1.4418,5.1834,-2.8386,5.3475,-3.1975,-0.038,0
HUO4-,HUO4-,HUO4-,aq,SSB97,NA,########,HKF,cal,-314800,-362900,-20.2,22.1,18.4,4.9364,4.2748,4.0637,-2.9556,36.9351,1.4672,1.9339,-1
UO2Cl+,UO2Cl+,UO2Cl+,aq,GA-EB,Fitted: GSCp; RSS = 0.04,########,HKF,cal,-259342,-282805,-7.92,53.65,33.12,6.5237,8.1473,2.5479,-3.1158,43.792,7.8937,0.6712,1
UO2Cl2,UO2Cl2,UO2Cl2,aq,GA-EB,Fitted: GSCp; RSS = 2.42,########,HKF,cal,-289862,-322908,21.47,6.28,63.63,10.4596,17.7573,-1.2292,-3.5131,9.4946,-1.7562,-0.038,0
UO2SO4,UO2SO4,UO2SO4,aq,GA-EB,Fitted: GSCp; RSS = 4.92,########,HKF,cal,-410182,-460535,-1.04,109.16,21.21,4.6545,3.5834,4.3417,-2.9271,69.7926,19.2018,-0.038,0
UO2(SO4)2-2,UO2(SO4)2-2,UO2(SO4)2-2,aq,GA-EB,Fitted: GSCp; RSS = 2.33,########,HKF,cal,-589461,-674226,21.8,67.87,36.69,7.7597,11.165,1.3618,-3.2406,72.4911,10.7898,2.8819,-2
UO2CO3,UO2CO3,UO2CO3,aq,GA-EB,Fitted: GS; RSS = 0.02,########,HKF,cal,-367270,-411421,12.78,-59.3,2.31,2.0683,-2.7313,6.8236,-2.6661,-0.8475,-28.9369,-0.038,0
UO2(CO3)2-2,UO2(CO3)2-2,UO2(CO3)2-2,aq,GA-EB,Fitted: GS; RSS = 0.01,########,HKF,cal,-502825,-575282,34.72,-28.8,-1.11,2.521,-1.626,6.3892,-2.7118,-42.4375,18.8896,2.6863,-2
UO2(CO3)3-4,UO2(CO3)3-4,UO2(CO3)3-4,aq,GA-EB,Fitted: GS; RSS = 0.07,########,HKF,cal,-635898,-736374,-6.14,-48.3,-4.53,3.3318,0.3538,5.6111,-2.7936,-59.7866,34.9856,6.4701,-4
